"","Vaccine","Geography.Type","Geography","FIPS","Season.Survey.Year","Month","Dimension.Type","Dimension","Estimate....","X95..CI....","Sample.Size","ym"
"1","Seasonal Influenza","States/Local Areas","Alabama",1,"2009-10",1,"Age","≥6 Months",37.6,"35.7 to 39.5",9323,2009-01-01
"2","Seasonal Influenza","States/Local Areas","Alaska",2,"2009-10",1,"Age","≥6 Months",36,"33.3 to 38.7",4987,2009-01-01
"3","Seasonal Influenza","States/Local Areas","Arizona",4,"2009-10",1,"Age","≥6 Months",39.1,"36.6 to 41.6",8065,2009-01-01
"4","Seasonal Influenza","States/Local Areas","Arkansas",5,"2009-10",1,"Age","≥6 Months",50.3,"46.5 to 54.1",5871,2009-01-01
"5","Seasonal Influenza","States/Local Areas","California",6,"2009-10",1,"Age","≥6 Months",33.8,"32.6 to 35.0",17151,2009-01-01
"6","Seasonal Influenza","States/Local Areas","Colorado",8,"2009-10",1,"Age","≥6 Months",43.1,"40.8 to 45.4",10746,2009-01-01
"7","Seasonal Influenza","States/Local Areas","Connecticut",9,"2009-10",1,"Age","≥6 Months",42.9,"41.0 to 44.8",8563,2009-01-01
"8","Seasonal Influenza","States/Local Areas","Delaware",10,"2009-10",1,"Age","≥6 Months",41.8,"39.7 to 43.9",7145,2009-01-01
"9","Seasonal Influenza","States/Local Areas","District of Columbia",11,"2009-10",1,"Age","≥6 Months",41.4,"38.4 to 44.4",6307,2009-01-01
"10","Seasonal Influenza","States/Local Areas","Florida",12,"2009-10",1,"Age","≥6 Months",33.3,"31.9 to 34.7",25071,2009-01-01
"11","Seasonal Influenza","States/Local Areas","Georgia",13,"2009-10",1,"Age","≥6 Months",34.5,"32.5 to 36.5",7795,2009-01-01
"12","Seasonal Influenza","States/Local Areas","Hawaii",15,"2009-10",1,"Age","≥6 Months",51,"48.9 to 53.1",9816,2009-01-01
"13","Seasonal Influenza","States/Local Areas","Idaho",16,"2009-10",1,"Age","≥6 Months",33.2,"31.1 to 35.3",8680,2009-01-01
"14","Seasonal Influenza","States/Local Areas","Illinois",17,"2009-10",1,"Age","≥6 Months",37.5,"35.5 to 39.5",8728,2009-01-01
"15","Seasonal Influenza","States/Local Areas","Indiana",18,"2009-10",1,"Age","≥6 Months",39.5,"37.9 to 41.1",11036,2009-01-01
